시설번호,년도,지역코드,시설유형,쉼터명칭,도로명주소,지번상세주소,면적,이용가능인원,선풍기보유대수,에어컨보유대수,야간개방,휴일개방,숙박가능여부,사용여부,운영시작일,운영종료일,경도,위도,X좌표,Y좌표
11200167,2022,1120063000,1,극동(아)경로당,서울특별시 성동구 독서당로 191,428-0,111,29,2,1,N,N,N,Y,20220520,20220930,127.011484,37.543172,201014.8929,549295.7397
11200115,2022,1120059000,1,금호벽산아파트 제1경로당,서울특별시 성동구 금호로 100 (금호동1가 벽산아파트),633 벽산아파트,360,40,2,3,N,N,N,Y,20220520,20220930,127.026868,37.551977,202374.1671,550273.2546
11200116,2022,1120059000,1,효사랑경로당,서울특별시 성동구 행당로 31,1818-0,74,20,2,1,N,N,N,Y,20220520,20220930,127.022297,37.555951,201970.1501,550714.2377
11200188,2022,1120065000,1,구립새촌경로당,서울특별시 성동구 성수일로3길 3-10,656-106,63,19,1,1,N,N,N,Y,20220520,20220930,127.048205,37.54187,204260.1674,549152.2857
11200172,2022,1120064500,1,유정경로당(옥수하이츠),서울특별시 성동구 한림말길 50,100-0,96,29,2,2,N,N,N,Y,20220520,20220930,127.016318,37.540023,201442.1559,548946.2467
11200173,2022,1120064500,1,옥수리버젠 1차경로당,서울특별시 성동구 매봉길 15,561-0,194,46,2,7,N,N,N,Y,20220520,20220930,127.01378,37.54493,201217.7721,549490.8836
11200174,2022,1120064500,1,옥수리버젠 2차경로당,서울특별시 성동구 매봉길 17,562-0,108,32,5,4,N,N,N,Y,20220520,20220930,127.014748,37.546254,201303.2936,549637.8445
11200181,2022,1120065000,1,강변동양(아)경로당,서울특별시 성동구 둘레길 21,479-1,43,13,1,1,N,N,N,Y,20220520,20220930,127.04629,37.537672,204091.1566,548686.285
11200182,2022,1120065000,1,성수금호3차(아)경로당,서울특별시 성동구 뚝섬로5길 17,714-0,54,16,1,1,N,N,N,Y,20220520,20220930,127.050366,37.542005,204451.1401,549167.2915
11200183,2022,1120065000,1,강변건영(아)경로당,서울특별시 성동구 왕십리로 36,710-0,60,18,1,1,N,N,N,Y,20220520,20220930,127.044561,37.540493,203938.1975,548999.2855
11200184,2022,1120065000,1,대림로즈빌(아)경로당,서울특별시 성동구 뚝섬로 311,656-234,34,10,1,1,N,N,N,Y,20220520,20220930,127.044822,37.542241,203961.1716,549193.281
11200185,2022,1120065000,1,성수현대그린(아)경로당,서울특별시 성동구 뚝섬로3길 6,Feb.33,63,19,1,1,N,N,N,Y,20220520,20220930,127.050433,37.540689,204457.1396,549021.2902
11200186,2022,1120065000,1,한진타운아파트 경로당,서울특별시 성동구 뚝섬로 310,704-0,52,15,1,1,N,N,N,Y,20220520,20220930,127.044731,37.541187,203953.1851,549076.2849
11200168,2022,1120063000,1,한림정경로당,서울특별시 성동구 독서당로 218,250-0,81,24,2,1,N,N,N,Y,20220520,20220930,127.013987,37.542112,201236.1118,549178.1225
11200169,2022,1120063000,1,옥수삼성(아)경로당,서울특별시 성동구 독서당로 218,250-0,81,20,1,1,N,N,N,Y,20220520,20220930,127.013987,37.542112,201236.1118,549178.1225
11200170,2022,1120064500,1,옥수힐스 경로당,서울특별시 성동구 매봉길 17,562-0,126,38,4,4,N,N,N,Y,20220520,20220930,127.014905,37.54645,201317.129,549659.5671
11200239,2022,1120079000,1,용답 제1경로당,서울특별시 성동구 용답중앙길 89-1 (용답동),8월 19일,59,18,3,1,N,N,N,Y,20220520,20220930,127.054986,37.56232,204858.1179,551422.2754
11200240,2022,1120079000,1,용답 제2경로당,서울특별시 성동구 용답중앙길 49,May.83,130,39,4,2,N,N,N,Y,20220520,20220930,127.051728,37.564763,204570.1181,551693.2785
11200212,2022,1120067000,1,중앙경로당,서울특별시 성동구 둘레9길 8,397-3,53,16,4,2,N,N,N,Y,20220520,20220930,127.050533,37.536716,204466.2143,548580.285
11200213,2022,1120067000,1,청구강변(아) 경로당,서울특별시 성동구 둘레9길 8,397-3,41,12,1,1,N,N,N,Y,20220520,20220930,127.054831,37.535254,204846.1753,548418.3003
11200214,2022,1120067000,1,한강한신(아)경로당,서울특별시 성동구 성수이로 3,442-0,68,20,2,1,N,N,N,Y,20220520,20220930,127.05267,37.535841,204655.1413,548483.2966
11200215,2022,1120067000,1,강변임광(아)경로당,서울특별시 성동구 성수동2가 둘레19길 5-1 (성수동2가),609-2,80,24,2,2,N,N,N,Y,20220520,20220930,127.056981,37.535235,205036.2019,548416.3045
11200216,2022,1120067000,1,두산위브(아)경로당,서울특별시 성동구 뚝섬로 434,838-0,83,25,2,1,N,N,N,Y,20220520,20220930,127.058419,37.537217,205163.1613,548636.3047
11200217,2022,1120067000,1,신성노바빌(아) 경로당,서울특별시 성동구 뚝섬로13길 11,833-0,29,8,2,1,N,N,N,Y,20220520,20220930,127.057267,37.539253,205061.2081,548862.302
11200218,2022,1120069000,1,성실경로당,서울특별시 성동구 광나루로 240-17,289-181,50,15,3,1,N,N,N,Y,20220520,20220930,127.056247,37.548852,204970.4064,549927.5425
11200220,2022,1120069000,1,성삼 경로당,서울특별시 성동구 성수동2가 광나루로2길 35 (성수동2가),299-240,151,32,3,4,N,N,N,Y,20220520,20220930,127.055225,37.548188,204880.1555,549853.8263
11200221,2022,1120069000,1,경동할머니경로당,서울특별시 성동구 연무장3길 11,301-13,21,7,1,1,N,N,N,Y,20220520,20220930,127.051567,37.544671,204557.1172,549463.2871
11200222,2022,1120069000,1,경동 경로당,서울특별시 성동구 연무장길 9-8,301-27,50,15,3,1,N,N,N,Y,20220520,20220930,127.050538,37.544527,204466.1903,549447.2887
11200198,2022,1120066000,1,서울숲 경로당,,685-40,149,45,3,1,N,N,N,Y,20220520,20220930,127.044349,37.546647,203919.1393,549682.2738
11200199,2022,1120066000,1,상원 경로당,서울특별시 성동구 왕십리로16길 6,656-1740,100,30,1,1,N,N,N,Y,20220520,20220930,127.045019,37.550061,203978.166,550061.2703
11545005,2022,1154551000,1,두산A지역경로당,서울특별시 금천구 가산로 99,770-0,155,70,5,2,N,N,N,Y,20220520,20220930,126.893297,37.47434,190561.5018,541661.5648
11545002,2022,1154551000,1,상록경로당,서울특별시 금천구 가산동 벚꽃로38길 35 (가산동),Jun.83,129,40,2,2,N,N,N,Y,20220520,20220930,126.884275,37.482836,189764.5865,542605.4725
11545003,2022,1154551000,1,우정경로당,서울특별시 금천구 두산로3길 49,238-3,180,30,2,3,N,N,N,Y,20220520,20220930,126.888706,37.472685,190155.2287,541478.3853
11545004,2022,1154551000,1,매봉경로당,서울특별시 금천구 가산동 시흥대로149가길 6  조마공원 (가산동),148-11 가산매봉노인정(조마공원),117,30,2,2,N,N,N,Y,20220520,20220930,126.895548,37.475588,190760.7781,541799.8529
11545022,2022,1154561000,1,진도3차아파트경로당,서울특별시 금천구 독산동 범안로17길 41 (독산동),1136 진도3차아파트,36,40,2,1,N,N,N,Y,20220520,20220930,126.893457,37.468689,190574.9364,541034.3749
11545023,2022,1154561000,1,독산현대아파트경로당,서울특별시 금천구 범안로17길 12,293-10,25,40,2,1,N,N,N,Y,20220520,20220930,126.895548,37.467424,190759.7732,540893.7698
11545024,2022,1154561000,1,중앙하이츠아파트경로당,서울특별시 금천구 범안로 1136,1140-0,126,40,3,1,N,N,N,Y,20220520,20220930,126.888717,37.464564,190155.1014,540577.0184
11545025,2022,1154563000,1,세일경로당,서울특별시 금천구 시흥대로147길 30-15,147-56,110,50,3,2,N,N,N,Y,20220520,20220930,126.896187,37.474779,190817.2014,541710.0022
11545026,2022,1154563000,1,철쭉경로당,서울특별시 금천구 금하로1마길 15-8,1112-0,143,20,5,2,N,N,N,Y,20220520,20220930,126.889601,37.452882,190231.7871,539280.4065
11545027,2022,1154563000,1,참새경로당,서울특별시 금천구 한내로 55,1088-2,149,20,3,2,N,N,N,Y,20220520,20220930,126.887193,37.456954,190019.2305,539732.5505
11545029,2022,1154561000,1,금천롯데캐슬골드파크1차경로당,서울특별시 금천구 벚꽃로 40,1147-0,198,40,0,3,N,N,N,Y,20220520,20220930,126.893935,37.459908,190616.1594,540059.7555
11545014,2022,1154561000,1,해가든아파트경로당,서울특별시 금천구 독산동 벚꽃로6길 3 (독산동),1143 금천 이랜드 해가든 아파트,50,40,2,2,N,N,N,Y,20220520,20220930,126.892998,37.460746,190533.3041,540152.8003
11545016,2022,1154561000,1,각산아파트경로당,서울특별시 금천구 독산동 한내로 52 (독산동),1093-5 각산아파트 각산아파트 경로당,80,40,1,1,N,N,N,Y,20220520,20220930,126.886928,37.456078,189995.6676,539635.4101
11545017,2022,1154561000,1,영보경로당,서울특별시 금천구 시흥대로141길 61-1,144-60,230,40,4,3,N,N,N,Y,20220520,20220930,126.897327,37.475583,190918.1377,541799.1138
11545018,2022,1154561000,1,한신아파트경로당,서울특별시 금천구 독산동 한내로 62 (독산동),1093-4,92,20,2,2,N,N,N,Y,20220520,20220930,126.888857,37.455417,190166.2713,539561.7563
11545011,2022,1154561000,1,복지경로당,서울특별시 금천구 벚꽃로10길 94,1010-0,167,40,10,2,N,N,N,Y,20220520,20220930,126.895285,37.464581,190736.1564,540578.239
11200057,2022,1120054000,1,마장 제2경로당,서울특별시 성동구 마장로42길 13,780-1,86,26,2,2,N,N,N,Y,20220520,20220930,127.045753,37.566099,204042.1605,551841.2628
11200060,2022,1120055000,1,사근 제1경로당,서울특별시 성동구 사근동12길 1 (사근동),200-9,158,47,6,2,N,N,N,Y,20220520,20220930,127.048409,37.560998,204277.1029,551275.2738
11200200,2022,1120066000,1,성원 경로당,서울특별시 성동구 성수동1가 상원10길 21 (성수동1가),13-21,83,25,2,1,N,N,N,Y,20220520,20220930,127.050043,37.550186,204422.1114,550075.2795
11200201,2022,1120066000,1,한양현대(아)경로당,서울특별시 성동구 상원1길 17,707-0,45,14,1,2,N,N,N,Y,20220520,20220930,127.04797,37.545492,204239.194,549554.2843
11740159,2022,1174062000,5,천호3동주민센터,서울특별시 강동구 천호대로 1089,447-17,100,20,2,3,N,Y,N,Y,20220520,20220930,127.13316,37.536081,211769.1022,548517.0401
11740197,2022,1174066000,5,성내3동주민센터,서울특별시 강동구 강동대로53길 76  성내3동주민센터 (성내동),430-29,281,70,2,2,N,Y,N,Y,20220520,20220930,127.132886,37.526042,211746.3977,547402.8002
11740212,2022,1174067000,5,길동주민센터,서울특별시 강동구 명일로 229-1,103-1,198,49,2,2,N,Y,N,Y,20220520,20220930,127.146197,37.539221,212920.8001,548867.2089
11740244,2022,1174070000,5,둔촌2동주민센터,서울특별시 강동구 천호대로186길 7  둔촌제2동주민센터 (둔촌동),65,239,59,2,2,N,Y,N,Y,20220520,20220930,127.14195,37.533344,212546.4026,548214.4028
11740174,2022,1174064000,5,성내1동주민센터,서울특별시 강동구 성내로 13 (성내동),539-1,338,84,2,3,N,Y,N,Y,20220520,20220930,127.122458,37.530479,210824.0022,547894.0013
1174000255,2022,1174052000,5,상일2동 주민센터,서울특별시 강동구 상일로6길 51,502-2,498,50,5,3,N,Y,N,Y,20220520,20220930,127.175853,37.549969,215539.4826,550064.6184
11740216,2022,1174067000,8,신한은행 길동지점,서울특별시 강동구 양재대로 1464,411-2,17,30,3,2,N,N,N,Y,20220520,20220930,127.139784,37.536501,212354.4021,548564.4046
11740217,2022,1174067000,8,강동농협 길일지점,서울특별시 강동구 천중로 206,350-1,15,30,2,2,N,N,N,Y,20220520,20220930,127.143032,37.540703,212640.8032,549031.2073
11740218,2022,1174067000,8,강동신용협동조합 길동지점,서울특별시 강동구 양재대로 1483,378-5,0,30,2,2,N,N,N,Y,20220520,20220930,127.139968,37.538432,212370.3985,548778.8018
11740202,2022,1174051500,8,기업은행 둔촌동지점,서울특별시 강동구 양재대로 1317,440-30,200,30,2,2,N,N,N,Y,20220520,20220930,127.134362,37.523994,211877.202,547175.6053
11740203,2022,1174051500,8,KEB 하나은행 둔촌역지점,서울특별시 강동구 양재대로 1349,428-6,200,30,2,2,N,N,N,Y,20220520,20220930,127.135336,37.526663,211962.8923,547471.988
11740213,2022,1174067000,8,우리은행 길동지점,서울특별시 강동구 양재대로 1554,320-5,12,5,5,2,N,N,N,Y,20220520,20220930,127.142776,37.544152,212617.5972,549414.0035
11740017,2022,1174051500,8,우리은행 삼성엔지니어링 사옥,서울특별시 강동구 상일로6길 26,500-0,217,50,5,5,N,N,N,Y,20220520,20220930,127.174846,37.548778,215450.7786,549932.2323
11740018,2022,1174051500,8,국민은행 상일동지점,서울특별시 강동구 상일로10길 36,494-0,302,50,2,4,N,N,N,Y,20220520,20220930,127.173701,37.550956,215349.1064,550173.8101
11740020,2022,1174051500,8,서울강동새마을금고 강일지점,서울특별시 강동구 아리수로97길 20,670-0,200,30,2,2,N,N,N,Y,20220520,20220930,127.177731,37.566799,215701.9649,551932.8299
11740030,2022,1174052000,8,하나은행 고덕역(출)지점,서울특별시 강동구 동남로 892  강동경희대병원 지하1층 (상일동),149 강동경희대병원 지하1층,200,30,3,2,N,N,N,Y,20220520,20220930,127.157406,37.553559,213908.7701,550460.1322
11740201,2022,1174066000,8,강동농협 둔촌역지점,서울특별시 강동구 양재대로 1349,428-6,0,30,2,2,N,N,N,Y,20220520,20220930,127.135362,37.526721,211965.199,547478.4064
11740016,2022,1174051500,8,강동농협 강일지점,서울특별시 강동구 아리수로 427,679-0,12,30,2,2,N,N,N,Y,20220520,20220930,127.174655,37.564969,215430.5702,551729.2116
1156000049,2022,1156055000,1,구립당산1동경로당,서울특별시 영등포구 영등포로25길 24,223-18,135,30,3,4,Y,Y,,Y,20220520,20220930,126.89919,37.525831,191088.8925,547375.7709
1156000050,2022,1156055000,1,한양아파트경로당,서울특별시 영등포구 국회대로38길 15,2월 6일,189,40,0,2,,,,Y,20220520,20220930,126.899054,37.525552,191076.8022,547344.8072
1156000054,2022,1156055000,1,SH아파트경로당,서울특별시 영등포구 영신로 183,562-0,71,35,2,1,Y,Y,,Y,20220520,20220930,126.901422,37.524494,191285.9994,547227.2048
1156000047,2022,1156055000,1,구립당산3가경로당,서울특별시 영등포구 당산로29길 9,407-0,132,30,3,2,,,,Y,20220520,20220930,126.893961,37.525965,190626.7007,547391.1959
1156000048,2022,1156055000,1,구립당산1가경로당,서울특별시 영등포구 영등포로29길 13,150-1,287,35,3,3,,,,Y,20220520,20220930,126.90093,37.524844,191242.5933,547266.0628
11350218,2022,1135064000,1,상계성원아파트경로당,서울특별시 노원구 상계동 노원로34길 34 (상계동 성원아파트),1283 성원아파트,62,25,3,1,N,N,N,Y,20220520,20220930,127.066579,37.663097,205874.4402,562608.1388
11350221,2022,1135065000,1,계산경로당,서울특별시 노원구 동일로239다길 19,1096-50,266,43,1,2,N,N,N,Y,20220520,20220930,127.058545,37.674168,205164.8021,563836.4054
11350174,2022,1135062400,1,염광아파트경로당,서울특별시 노원구 중계동 덕릉로 718 (중계동 중계동건영아파트),586 중계동건영아파트,140,22,2,1,N,N,N,Y,20220520,20220930,127.076783,37.664188,206774.7124,562729.9063
11740015,2022,1174051500,5,강일동주민센터,서울특별시 강동구 아리수로93길 9-14 강일동복합청사 (강일동),678,554,138,2,6,N,Y,N,Y,20220520,20220930,127.173968,37.565013,215369.8301,551733.9824
11740029,2022,1174052000,5,상일1동주민센터,서울특별시 강동구 구천면로 633,513-2,198,49,2,2,N,Y,N,Y,20220520,20220930,127.166248,37.550584,214690.6716,550131.2764
11740041,2022,1174053000,5,명일1동주민센터,서울특별시 강동구 양재대로138길 37  명일1동주민센터?명일파출소 (명일동),327-5,132,33,2,2,N,Y,N,Y,20220520,20220930,127.145983,37.549763,212899.9996,550037.2035
11740058,2022,1174054000,5,명일2동주민센터,서울특별시 강동구 상암로 260  명일제2동주민센터 (명일동),223-7,253,63,2,3,N,Y,N,Y,20220520,20220930,127.151353,37.546365,213375.1984,549660.8055
11740073,2022,1174055000,5,고덕1동주민센터,서울특별시 강동구 양재대로156길 123,691-6,226,56,2,4,N,Y,N,Y,20220520,20220930,127.151507,37.557281,213386.8019,550872.4069
11740082,2022,1174056000,5,고덕2동주민센터,서울특별시 강동구 아리수로78길 43-12 고덕2동 주민센터 (고덕동),226-4,260,65,2,2,N,Y,N,Y,20220520,20220930,127.164357,37.560508,214521.6017,551232.4072
11740096,2022,1174057000,5,암사1동주민센터,서울특별시 강동구 올림픽로98가길 57  암사제1동주민센터 (암사동),493-13,299,74,2,2,N,Y,N,Y,20220520,20220930,127.132641,37.55148,211720.8028,550226.0008
11740204,2022,1174066000,7,중흥교회,서울특별시 강동구 강동대로55길 87,430-8,50,20,3,1,N,N,N,Y,20220520,20220930,127.133833,37.52626,211830.0731,547427.092
